Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
Gerichtsvollz.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieh.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollziehcrswe.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollziehe rkandidat,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieher,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieher a. D.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
GerichtsvollziehersÂ»Â»^.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollziehersfrau,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieherswc.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieherswe.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvollzieherswitwe,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsvotlzieherswe.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gericktsvollz.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gericktsvollzieherswe.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gesällcinnehmer,,B 62112-614,B,Gefälleeinnehmer/in,62112,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Kassierer/innen und Kartenverkäufer/innen,Kassierer/innen und Kartenverkäufer/innen - fachlich ausgerichtete Tätigkeiten,614,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gesanglehrerin,,B 84414-106,B,Gesangslehrer/in,84414,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an außerschulischen Bildungseinrichtungen,Berufe in der Musikpädagogik,Berufe in der Musikpädagogik - hoch komplexe Tätigkeiten,106,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gesangslehrerin,,B 84414-106,B,Gesangslehrer/in,84414,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an außerschulischen Bildungseinrichtungen,Berufe in der Musikpädagogik,Berufe in der Musikpädagogik - hoch komplexe Tätigkeiten,106,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gesangvereinsdirigent,,B 94134-120,B,Chordirigent/in,94134,"Sprach-, Literatur-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst, Kultur und Gestaltung",Darstellende und unterhaltende Berufe,"Musik-, Gesangs- und Dirigententätigkeiten",Dirigenten/Dirigentinnen,Dirigenten/Dirigentinnen - hoch komplexe Tätigkeiten,120,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gesanzlehrerin,,B 84414-106,B,Gesangslehrer/in,84414,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an außerschulischen Bildungseinrichtungen,Berufe in der Musikpädagogik,Berufe in der Musikpädagogik - hoch komplexe Tätigkeiten,106,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
GesäUoderaufseher,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschä tssührer des Bundes  d.Landwirte,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftes,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäfts).,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäfts)'.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsbücherfabrikant,,B 23494-519,B,Hofbuchdruckereibesitzer/in,23494,"Rohstoffgewinnung, Produktion und Fertigung","Papier- und Druckberufe, technische Mediengestaltung","Drucktechnik und -weiterverarbeitung, Buchbinderei","Aufsichtskräfte - Drucktechnik und -weiterverarbeitung, Buchbinderei","Führungskräfte - Drucktechnik und -weiterverarbeitung, Buchbinderei",519,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsf,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsf.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
geschäftsf. Direktor,,B 71394-509,B,,71394,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Unternehmensorganisation und -strategie,Aufsichts- und Führungskräfte - Unternehmensorganisation und -strategie,Führungskräfte - Unternehmensorganisation und -strategie,509,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsfiibr.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführ.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführer,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführer d. Brauerei-  u.Mälzerei-Berussgenossenschaft,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführer und Reisender,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführerin,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführersfr,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsführerswe.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsinb.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsinh.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsinhaberin,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
GeschäftsinhabersÂ»^.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsleiterin,,B 71104-109,B,"Geschäftsleiter/in, Zweiggeschäftsleiter/in, Zweigstellenleiter/in",71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,109,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsreisender,,B 61123-139,B,Geschäftsreisende/r,61123,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Einkaufs-, Vertriebs- und Handelsberufe",Einkauf und Vertrieb,Berufe im Vertrieb außer Informations- und Kommunikationstechnologien,Berufe im Vertrieb (außer Informations- und Kommunikationstechnologien) - komplexe Spezialistentätigkeiten,139,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftss.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftss. d. Müllerei-Berufs-genossensch.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftssühr.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftssührerswe.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftstcilh.,,B 71104-110,B,Geschäftsteilhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,110,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsteilh,,B 71104-110,B,Geschäftsteilhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,110,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsteilh.,,B 71104-110,B,Geschäftsteilhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,110,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsteilhaberin,,B 71104-110,B,Geschäftsteilhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,110,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäftsvertreter,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschäsftsteilh.,,B 71104-110,B,Geschäftsteilhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,110,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschästsführ.,,B 71104-100,B,Geschäftsführer/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschästsinb.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschästsinhab.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschästsiuh.,,B 71104-108,B,Geschäftsinhaber/in,71104,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Geschäftsführung und Vorstand,Geschäftsführer/innen und Vorstände,Geschäftsführer/innen und Vorstände - hoch komplexe Tätigkeiten,108,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Geschästsreis.,,B 61123-139,B,Geschäftsreisende/r,61123,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus","Einkaufs-, Vertriebs- und Handelsberufe",Einkauf und Vertrieb,Berufe im Vertrieb außer Informations- und Kommunikationstechnologien,Berufe im Vertrieb (außer Informations- und Kommunikationstechnologien) - komplexe Spezialistentätigkeiten,139,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
